nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
Galaxitra;12C - English IPA (BJCP 2015);1.075;7.86;36.9;5.079658716558137;20;2019-11-27;Patricio Perciavalle;https://www.brew-o-matic.com.ar/#/recipe/clone/Galaxitra-5a1c906c6cb36b1d002cd70c-1557926177652
Hell IPA;12C - English IPA (BJCP 2015);1.054;5.31;59.4;10.277095296801914;360;2016-10-04;Pablo Ceser;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAInferno-565cc047de3e80635daf5f22-1472248445372
Hops & Dreams (English IPA);12C - English IPA (BJCP 2015);1.056;5.5;42.6;17.062541080517306;22;2018-03-15;Juan Manuel Iglesias;https://www.brew-o-matic.com.ar/#/recipe/clone/HopsDreamsEnglishIPA-5a4bf4919c77c91d00a5fae5-1521071921298
I.P.A cactus;12C - English IPA (BJCP 2015);1.065;6.39;35.9;10.828314015329465;80;2017-09-14;carlos pati sosa;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAcactus-57ee633304cb941d00815a6d-1505412382510
IPA;12C - English IPA (BJCP 2015);1.053;5.21;25;5.492257603835172;20;2018-03-21;Renzo Jugovich;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-5a031418bdbe371d00b67084-1510248370050
IPA;12C - English IPA (BJCP 2015);1.062;6.34;47.4;10.753522089514028;21;2018-11-08;Alfredo Alanis;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-596d327596c7a21d002c407a-1524920023028
IPA;12C - English IPA (BJCP 2015);1.066;6.48;49.1;12.111452956183864;20;2024-06-05;;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-5938c0a4c02e1b1d0090efc7-1715797637856
IPA;12C - English IPA (BJCP 2015);1.039;4.24;42.6;5.104976124988919;10000;2026-08-10;Nanita Garcia;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-580ff7f26ef58d1d0037a8fe-1784030911838
"IPA ""Los Lupulados""";12C - English IPA (BJCP 2015);1.064;6.87;49.5;17.59933287136421;20;2018-09-17;Andres Dalla Fontana;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAlupulados-5aff637318a7da0004060717-1537146319230
IPA -  Cricket Brewery® - 100L;12C - English IPA (BJCP 2015);1.056;5.5;41;9.74496391066677;100;2019-06-24;marcelo moyano;https://www.brew-o-matic.com.ar/#/recipe/clone/IPACricketBrewery-577d1cc0cda5941d00efa348-1535468003538
IPA - Cerveza Balconada;12C - English IPA (BJCP 2015);1.065;6.64;52;10.026729379930632;53;2017-09-02;Javier Gómez;https://www.brew-o-matic.com.ar/#/recipe/clone/IPACervezaBalconada-57d9f664cc29b51d00e048b0-1492172468737
IPA - Dos Orillas;12C - English IPA (BJCP 2015);1.055;5.4;35.9;7.856792578882218;100;2018-05-04;Juan Manuel Castagnini;https://www.brew-o-matic.com.ar/#/recipe/clone/IPADosOrillas-57f461d37a3f0b1d007aa43b-1502676436372
IPA 15/12/18;12C - English IPA (BJCP 2015);1.048;4.72;32.4;11.65832738082049;40;2018-12-19;Aldo Sona;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA151218-5990a4aed9b4181d0086a2ce-1545234284149
IPA 2;12C - English IPA (BJCP 2015);1.051;5.01;26.4;13.09278483817659;50;2018-08-23;scando;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA2-587a6b9fa469191d0011a48b-1519861104246
IPA 29/12/17;12C - English IPA (BJCP 2015);1.05;4.91;30.8;14.831537009211994;22;2017-12-29;Aldo Sona;https://www.brew-o-matic.com.ar/#/recipe/clone/Klsh281217-5990a4aed9b4181d0086a2ce-1514483674862
IPA 30/12/18;12C - English IPA (BJCP 2015);1.06;5.9;37.9;12.776530120349097;35;2018-12-30;Aldo Sona;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA301218-5990a4aed9b4181d0086a2ce-1546148288176
IPA 50 lts 18/08/2017;12C - English IPA (BJCP 2015);1.065;6.64;61.3;10.947334433751823;50.1;2017-08-18;Fermín Martínez Ramírez;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA50lts18082017-56a8be094797831d000f7c29-1503057868921
IPA Agosto 2021;12C - English IPA (BJCP 2015);1.055;5.62;31;10.463604821517867;40;2021-08-22;Maximiliano Demaria;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAAgosto2021-57e18b350116e91d00ce166e-1629642831877
IPA BREWDOG;12C - English IPA (BJCP 2015);1.057;5.82;59.4;7.956300484179957;80;2016-10-12;Ivan Vercinsky;https://www.brew-o-matic.com.ar/#/recipe/clone/IPABREWDOG-57fe5e8bf882561d0096bc90-1476288988997
IPA BomberMan;12C - English IPA (BJCP 2015);1.046;4.7;38.9;9.04291284536085;35;2018-09-28;Yani Saavedra;https://www.brew-o-matic.com.ar/#/recipe/clone/IPABomberMan-5b3d1e2f35c8850004a3a1e6-1538171364321
IPA Boom;12C - English IPA (BJCP 2015);1.059;5.8;73.5;7.816827663088812;20;2019-09-02;;https://www.brew-o-matic.com.ar/#/recipe/clone/IPABoom-5d540ee22710760004d5fd5f-1566048719777
IPA Central LEMA BEER;12C - English IPA (BJCP 2015);1.056;5.72;38.2;13.302721022630484;22;2019-11-21;Mauricio Adalian;https://www.brew-o-matic.com.ar/#/recipe/clone/IPACentralBeerCumpleMauri-5cc2325f199ff200043a46b4-1563035805756
IPA Cruz;12C - English IPA (BJCP 2015);1.056;5.5;30.9;10.991802286670566;250;2019-01-08;Emiliano Franetovich;https://www.brew-o-matic.com.ar/#/recipe/clone/UPACruz-5c086c445784f500043e98d1-1546928073374
IPA Cuando;12C - English IPA (BJCP 2015);1.06;7.31;20.6;7.038530626983195;25;2022-09-09;ELBIO RICHARD CONTI DIAZ;https://www.brew-o-matic.com.ar/#/recipe/clone/IPACuando-5e7c0a46d58a69000464529b-1600083584020
IPA Fin de Año;12C - English IPA (BJCP 2015);1.062;6.66;46.6;9.347450657986668;23;2016-12-17;santtiago pochat;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAFindeAo-57a9092d05bc501d007ecc06-1481735881458
IPA Gaucha;12C - English IPA (BJCP 2015);1.055;5.62;23.6;12.471790270767835;25;2020-04-01;Peco;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-5a2dd067d392f71d007935a0-1559948099820
IPA Hacedores;12C - English IPA (BJCP 2015);1.059;5.8;59.1;8.251476530355736;120;2019-07-06;Alexis Boccacio;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAHacedores-5b215ed97f535b0004a60c84-1562428076732
IPA MARZO 2022;12C - English IPA (BJCP 2015);1.045;4.6;34;7.866294311724478;42;2022-03-27;Maximiliano Demaria;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAMARZO2022-57e18b350116e91d00ce166e-1648383162261
IPA Mirka by Santo Grial;12C - English IPA (BJCP 2015);1.062;6.09;47.1;14.201418511554168;20;2017-03-30;Carlos M;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAMirkabySantoGrial-57f1753604cb941d008244a4-1490912666839
IPA Mosaic;12C - English IPA (BJCP 2015);1.057;5.82;17.8;4.5391533217354665;30;2024-04-30;Guillermo E. Fittipaldi;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAMosaic-5a99b4e85cf151001dd74b51-1711401709303
IPA Pale - BASTARDA;12C - English IPA (BJCP 2015);1.057;5.6;32.1;19.021941744861294;20;2019-11-21;Leandro Japaz;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAPale-5d052389b8ade8000481040c-1569283989759
IPA Pale Lupulada - BASTARDA;12C - English IPA (BJCP 2015);1.057;5.6;36.9;19.021941744861294;20;2020-07-16;Leandro Japaz;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAPaleBASTARDA2-5d052389b8ade8000481040c-1594861916454
IPA Patagonica 3;12C - English IPA (BJCP 2015);1.059;5.8;41.9;9.012411305998596;20;2021-02-06;Amadeo Doldan Lossl;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAPatagonica3-58584f2ae83aa21d00239955-1612650157349
IPA Rotor;12C - English IPA (BJCP 2015);1.057;5.6;55.9;8.869859314732537;90;2019-10-26;Sebadt79;https://www.brew-o-matic.com.ar/#/recipe/clone/IPARotor-5a46a6ee6c75731d000b1ec2-1572114724719
IPA Vs 01;12C - English IPA (BJCP 2015);1.055;5.4;31;13.274193458431958;20;2017-01-13;Javier Paz Pino;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAVs01-58276bd141c3611d003e3e44-1478979471139
IPA Vs 02;12C - English IPA (BJCP 2015);1.058;5.93;43.2;8.08481554608542;20;2017-01-13;Javier Paz Pino;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAV2-58276bd141c3611d003e3e44-1480169166204
IPA alplanando la curva;12C - English IPA (BJCP 2015);1.059;6.03;61.2;10.989748459439106;100;2021-07-13;Juan Sebastian Rapoport;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAalplanandolacurva-5f09c94b2d794700048c66cd-1598900473191
IPA dinamita II;12C - English IPA (BJCP 2015);1.05;4.91;39.5;5.734967293808405;32;2019-04-21;;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAdinamitaII-5bb3b40d1c1071000400ffed-1555885195830
IPA golem mandarin;12C - English IPA (BJCP 2015);1.062;6.09;38.1;6.862601484701687;60;2017-07-06;carlos pati sosa;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAmandarin-57ee633304cb941d00815a6d-1499301494828
IPA session Gua;12C - English IPA (BJCP 2015);1.062;0;35.8;14.594655756968052;200;2018-05-15;Néstor J;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAsesionGua-5abddbce1ddd05001d437e02-1526419130469
IPA tranqui;12C - English IPA (BJCP 2015);1.056;5.5;60.8;11.440824676635367;100;2017-07-31;cristian polla;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAtranqui-54c70f55ac35a8446d000139-1501347052621
IPA49;12C - English IPA (BJCP 2015);1.06;6.52;40.6;9.463620946068446;20.5;2019-07-18;nicolas volpe;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA49-5a38f54e955eac1d0084b764-1563477487326
IPAFrench;12C - English IPA (BJCP 2015);1.058;6.31;67.5;10.459334948083706;20.5;2019-05-18;nicolas volpe;https://www.brew-o-matic.com.ar/#/recipe/clone/IPAFrench-5a38f54e955eac1d0084b764-1558191199028
India Pale Ale;12C - English IPA (BJCP 2015);1.055;5.98;47.6;8.708548110534256;35;2018-03-16;Ezequiel Cometto;https://www.brew-o-matic.com.ar/#/recipe/clone/IndiaPaleAle-5825c7f2c7792a1d003fd596-1521223949804
India Pale Ale;12C - English IPA (BJCP 2015);1.055;5.91;56.6;11.708256250502808;20;2020-03-02;José Batista;https://www.brew-o-matic.com.ar/#/recipe/clone/IndiaPaleAle-5e2bbdf893eabd0004fec9ac-1583130811561
India Peron Ale;12C - English IPA (BJCP 2015);1.056;5.65;46.7;11.028513344943814;12;2020-02-21;Cristian C;https://www.brew-o-matic.com.ar/#/recipe/clone/IndiaPeronAle-5e3b5ee6b24be700041667de-1582329316592
Ipa;12C - English IPA (BJCP 2015);1.065;6.39;53.9;11.306031809072222;20;2017-10-10;ailin calvo;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipa-590b2be6ff8a391d004f658c-1504127054167
Ipa Cojuda 935;12C - English IPA (BJCP 2015);1.061;6.23;63.8;18.39590283737032;21;2021-12-05;esteban castro;https://www.brew-o-matic.com.ar/#/recipe/clone/IpaCojuda935-6185b9d4eefbbd00040b3608-1636833553301
Ipa Pop;12C - English IPA (BJCP 2015);1.054;5.52;51.2;10.4285682527342;20;2025-07-19;Francisco Bellero;https://www.brew-o-matic.com.ar/#/recipe/clone/IpaPop-687030b8490991c2961c83ac-1752928113923
Ipa caliente;12C - English IPA (BJCP 2015);1.074;7.27;48.3;10.039523814988607;40;2018-01-28;Lucio Diaz;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipacaliente-5932ed8a25d7a41d00a267c1-1517152055774
Ipa dinamita;12C - English IPA (BJCP 2015);1.052;5.11;44.3;6.929573748514657;29;2019-02-02;Timytoka;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipadinamita-5bb3b40d1c1071000400ffed-1549072544974
Ipa inglesa;12C - English IPA (BJCP 2015);1.062;6.09;42.2;9.202678948812652;100;2016-11-22;Demian Hyde;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipainglesa-5814e6f931e9a81d00595b60-1479839108870
Ipa inglesa;12C - English IPA (BJCP 2015);1.056;5.5;39.6;9.470934938526662;22;2020-12-19;bonifacia;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipainglesa-5c62528e312d74000419e5ce-1590988060480
Ipa pablo;12C - English IPA (BJCP 2015);6.875;600.31;3089.3;107.98422652030916;300;2023-03-10;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipapablo-5249cb644b1137475300016a-1678490856662
Ipa1;12C - English IPA (BJCP 2015);1.047;4.62;28.2;8.894524496249147;34;2018-08-19;Ja17R R;https://www.brew-o-matic.com.ar/#/recipe/clone/-5953c23a38f5931d0089befd-1534710210312
Ipanema;12C - English IPA (BJCP 2015);1.068;6.95;52.7;9.842398130792224;20;2017-04-17;marcelo moyano;https://www.brew-o-matic.com.ar/#/recipe/clone/Ipanema-577d1cc0cda5941d00efa348-1475880671122
Londinium-Barigaza cerevisiae;12C - English IPA (BJCP 2015);1.063;6.6;29.7;10.077718412993676;42;2015-11-30;Diego Serrano;https://www.brew-o-matic.com.ar/#/recipe/clone/ElImperioRomanonoconociAmericanIPAsinolahabraconquistado-54828956bbf40ce6620005f0-1441812378345
Machipa;12C - English IPA (BJCP 2015);1.052;5.11;52;7.856792578882218;20;2019-01-31;thom chichizola;https://www.brew-o-matic.com.ar/#/recipe/clone/Machipa-5b81f0e21738500004130ff1-1546981439612
Makeshift IPA;12C - English IPA (BJCP 2015);1.051;5.01;49.5;10.933934370401332;70;2017-04-14;raul sorani;https://www.brew-o-matic.com.ar/#/recipe/clone/MakeshiftIPA-588a0f9d4cd2f71d00b24e56-1490873894394
Maldita IPA 2;12C - English IPA (BJCP 2015);1.07;6.88;59.7;12.799342208862516;40;2018-02-21;Pablo Muscillo;https://www.brew-o-matic.com.ar/#/recipe/clone/MalditaIPA2-5a625f0352015a1d00484821-1519227505389
Marley Reloaded;12C - English IPA (BJCP 2015);1.06;5.9;2.7;5.876530094636786;50;2024-08-24;;https://www.brew-o-matic.com.ar/#/recipe/clone/MarleyReloaded-5ec187d77850b90004241252-1645921836492
Morning IPA;12C - English IPA (BJCP 2015);1.061;5.59;42.7;9.91428766983386;20;2017-10-28;Locomalo;https://www.brew-o-matic.com.ar/#/recipe/clone/MorningIPA-5964354d02fb8c1d004325fa-1509192126108
NEIPA GUAZU- 100 l;12C - English IPA (BJCP 2015);1.059;5.8;52.2;6.0146057585773045;90;2018-08-15;Christian Alejandro Gomez;https://www.brew-o-matic.com.ar/#/recipe/clone/NEIPACOLABBARTZ-5b3aaf7819747b00042cc462-1534304549334
NEIPA New England;12C - English IPA (BJCP 2015);1.078;7.66;20.9;5.972912638561595;23;2021-01-05;David Silva;https://www.brew-o-matic.com.ar/#/recipe/clone/NEIPANewEngland-5f1a3bf49dce310004a66850-1609127270561
NIPA;12C - English IPA (BJCP 2015);1.058;5.93;16.6;7.4705787731368885;23;2018-08-10;Marcelo;https://www.brew-o-matic.com.ar/#/recipe/clone/NIPA-5aadb837a2d14f001d540784-1533782069654
New England IPA Cicla;12C - English IPA (BJCP 2015);1.06;5.9;45.6;6.081144467252614;65;2018-06-02;Lucio Nounou;https://www.brew-o-matic.com.ar/#/recipe/clone/NewEnglandIPACicla-5a8b9de0585f89001d2ac56a-1527902229520
PUCHO IPA;12C - English IPA (BJCP 2015);1.075;7.37;71.8;11.346546599628466;50;2020-04-13;Jose CRESTA;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-57a35e8a1e76221d002611e3-1572389533182
Pa la LLuvia;12C - English IPA (BJCP 2015);1.054;5.31;41.9;9.387482785282415;50;2019-01-30;Lucio Diaz;https://www.brew-o-matic.com.ar/#/recipe/clone/PalaLLuvia-5932ed8a25d7a41d00a267c1-1548851954065
Pati IPA 2020;12C - English IPA (BJCP 2015);1.063;6.19;38.1;9.326068065676814;60;2019-12-13;carlos pati sosa;https://www.brew-o-matic.com.ar/#/recipe/clone/PatiIPA2020-57ee633304cb941d00815a6d-1576251086159
RHEA ENGLISH IPA 2019;12C - English IPA (BJCP 2015);1.059;5.56;56.9;13.59682855658265;60;2020-02-19;jose luis Abraham;https://www.brew-o-matic.com.ar/#/recipe/clone/RHEAENGLISHIPA2019-558f06fd546fbcc331001e0e-1563394966827
Red IPA;12C - English IPA (BJCP 2015);1.055;5.4;56.9;16.821590031170224;125;2019-04-01;Ariel Medel;https://www.brew-o-matic.com.ar/#/recipe/clone/RedIPA-592494398fb1421d005e14ae-1554153792292
SHEEPA;12C - English IPA (BJCP 2015);1.058;5.93;64.9;5.637180559148035;100;2019-04-20;Mati Di Fermo;https://www.brew-o-matic.com.ar/#/recipe/clone/IPA-5a554a20cf84c21d0089b1bc-1554839084352
Satan English IPA222;12C - English IPA (BJCP 2015);1.051;5.01;41.3;12.825932803767099;24;2020-01-31;Nicolás Di Cocciolo;https://www.brew-o-matic.com.ar/#/recipe/clone/SatanEnglishIPA-5c35f4d119826f0004c24c50-1574950876597
Schwein Black ipa;12C - English IPA (BJCP 2015);1.061;6.23;58.8;40.78850780615707;80;2018-09-07;ulises.impellizzeri@gmail.com;https://www.brew-o-matic.com.ar/#/recipe/clone/MarroIpa-59cc0baffae2b61d00b47580-1536284375486
Schwein Skairipa;12C - English IPA (BJCP 2015);1.063;6.19;52.4;8.685413748941707;80;2018-07-27;;https://www.brew-o-matic.com.ar/#/recipe/clone/MarroIpa-59cebd1e00316c1d005bb0ba-1524100440676
Session Ipa La picha;12C - English IPA (BJCP 2015);1.054;5.31;25.5;10.012747963436478;40;2022-04-11;nico 2004;https://www.brew-o-matic.com.ar/#/recipe/clone/IpaLapicha-5fa32af6a020d500048c089e-1649420613547
Session Ipa Michel;12C - English IPA (BJCP 2015);1.054;5.52;21.3;9.5132473071268;70;2018-05-30;Walter Michel;https://www.brew-o-matic.com.ar/#/recipe/clone/SessionIpaArgentaWally-59094e1045cafa1d004f121b-1527724366478
Vladivostok IPA;12C - English IPA (BJCP 2015);1.075;7.37;46.4;19.274132950252145;20;2018-11-18;Pablo Paz;https://www.brew-o-matic.com.ar/#/recipe/clone/VladivostokIPA-5b1054c18b1b110004a4c270-1537571514422
Wallace EPA (Pedido);12C - English IPA (BJCP 2015);1.067;6.58;41.1;13.140452400001806;20;2017-10-04;Guzmán Andreatta;https://www.brew-o-matic.com.ar/#/recipe/clone/WallaceEPAPedido-551ac6c19a50be2a7d00004e-1507143671441
bitter beerbank4;12C - English IPA (BJCP 2015);1.058;5.7;36;8.055241692464993;40;2018-08-15;Juan Luis Serra;https://www.brew-o-matic.com.ar/#/recipe/clone/bitterbeerbank4-532b95b152e8696225000033-1534374401654
english ipa;12C - English IPA (BJCP 2015);1.057;5.6;39.9;11.445865235630288;20;2023-09-24;Gaston palacios;https://www.brew-o-matic.com.ar/#/recipe/clone/englishipa-5d71ca81ab133200048a2882-1625789322278
ipa;12C - English IPA (BJCP 2015);1.057;5.6;40.2;10.11076685205276;20;2017-09-21;Mariano Arguelles;https://www.brew-o-matic.com.ar/#/recipe/clone/ipa-595ff521a796711d0034519b-1505951850841
ipa amarillo;12C - English IPA (BJCP 2015);1.059;6.03;32.5;9.387482785282415;40;2017-09-21;Mariano Arguelles;https://www.brew-o-matic.com.ar/#/recipe/clone/ipaamarillo-595ff521a796711d0034519b-1505160598340
ipa fer;12C - English IPA (BJCP 2015);1.055;5.62;48;9.01615965307995;40;2018-11-27;Walter Brown;https://www.brew-o-matic.com.ar/#/recipe/clone/ipafer-555bb3c700d82cba4a0000fe-1543359520308
ipa fuertes;12C - English IPA (BJCP 2015);1.059;5.8;56.7;11.832406202399316;80;2016-11-07;juan andres fuertes;https://www.brew-o-matic.com.ar/#/recipe/clone/ipafuertes-577f8276cda5941d00efd324-1478080443479
ipa fuertes 2;12C - English IPA (BJCP 2015);1.06;5.9;44.1;12.639263321077259;80;2017-01-15;juan andres fuertes;https://www.brew-o-matic.com.ar/#/recipe/clone/ipafuertes2-577f8276cda5941d00efd324-1484504107449
ipa para ipaday;12C - English IPA (BJCP 2015);1.057;5.6;45.8;10.203040682875331;100;2019-06-04;Nicolas Aquino la biere;https://www.brew-o-matic.com.ar/#/recipe/clone/ipadelalmirante-5a0b6034b8137f1d00103144-1559348878149
ipa tulin;12C - English IPA (BJCP 2015);1.059;5.8;42;13.89550522345707;20;2018-05-31;;https://www.brew-o-matic.com.ar/#/recipe/clone/ipatulin-59fed42a19e72e1d007ef995-1527734449982
ripa (restyling ipa);12C - English IPA (BJCP 2015);1.062;6.34;54.3;13.01136631904221;60;2019-03-11;Juan brusa;https://www.brew-o-matic.com.ar/#/recipe/clone/riparestylingipa-5a6be33e6108b21d00bf283e-1552335868404
Mad Ipa Beer  I;12C - English IPA (BJCP 2017);1.052;5.11;56.2;12.49684269491857;20;2017-11-09;Jose Luis Madueño Jimenez;https://www.brew-o-matic.com.ar/#/recipe/clone/MadIpaBeer-59c21ed06f2e8e1d000ee22a-1505988469078
Birrucca Mild;13A - Dark Mild (BJCP 2015);1.037;3.64;17.2;22.71221882079933;42;2019-11-14;Martin Fucci;https://www.brew-o-matic.com.ar/#/recipe/clone/BirruccaMild-5574cb566a7398d31000006c-1570055578964
Cerveceros del Oeste - Not So Dark;13A - Dark Mild (BJCP 2015);1.038;3.73;20.5;20.744174428172855;20;2023-01-23;Gustavo Lago;https://www.brew-o-matic.com.ar/#/recipe/clone/NotSoDark-6377bec044f544453e5c5817-1674496601503
Dark Mild;13A - Dark Mild (BJCP 2015);1.036;3.54;18.3;21.375304091373117;24;2019-07-24;Nafer Bustamante;https://www.brew-o-matic.com.ar/#/recipe/clone/DarkMild-5b2ed60ecbcf490004af8363-1564006470798
Hobbiton;13A - Dark Mild (BJCP 2015);1.038;3.73;15.3;17.778263353433108;45;2016-07-05;Martin Reboreda;https://www.brew-o-matic.com.ar/#/recipe/clone/Hobbiton-5771e502bb65161d007328d6-1467747394827
Mild ale;13A - Dark Mild (BJCP 2015);1.038;3.73;12.1;16.47118299953105;100;2017-06-29;;https://www.brew-o-matic.com.ar/#/recipe/clone/Mildale-591a6a4b6480fd1d00e5a784-1498756367165
Summer Mild;13A - Dark Mild (BJCP 2015);1.035;3.44;16.6;25.88919918252981;40;2020-11-15;Pablo Salvatori;https://www.brew-o-matic.com.ar/#/recipe/clone/Mild-590912c745cafa1d004ec149-1605478265802
dark mild;13A - Dark Mild (BJCP 2015);1.044;4.5;31.1;19.675653354150615;35;2016-10-15;Luis Pedro;https://www.brew-o-matic.com.ar/#/recipe/clone/darkmild-5463837dd115c4137e00de5f-1474327422931
dark mild;13A - Dark Mild (BJCP 2015);1.038;3.73;17.8;25.30603672614394;110;2026-05-25;jorge Rodríguez;https://www.brew-o-matic.com.ar/#/recipe/clone/darkmild-59f928360b3dd21d00c89b59-1634228992302
dark mild;13A - Dark Mild (BJCP 2015);1.046;4.52;18.3;36.374774027787495;40;2023-09-21;daniel maravilla;https://www.brew-o-matic.com.ar/#/recipe/clone/darkmild-5b81f1081738500004130ff5-1691980367084
el hornero;13A - Dark Mild (BJCP 2015);1.039;3.99;8.5;18.318576828626412;105;2021-05-31;kankunapa brewing;https://www.brew-o-matic.com.ar/#/recipe/clone/recuperado-5e3ca97f7256ac00049cf09d-1622497260569
#47 Brown Ale;13B - British Brown Ale (BJCP 2015);1.045;4.6;27.8;15.142469399416173;108.8;2018-03-30;Beto Hadis;https://www.brew-o-matic.com.ar/#/recipe/clone/44BrownAle-540a466c3649d08d060016cc-1511794303713
Amber;13B - British Brown Ale (BJCP 2015);1.04;4.09;13.3;11.23593860689562;350;2017-11-23;tomas aredes;https://www.brew-o-matic.com.ar/#/recipe/clone/Amberale-57bc938cfdc0771d007127fd-1507478961805
American Brown Aromatica ( 28/10 );13B - British Brown Ale (BJCP 2015);1.06;5.9;3.7;24.36132710264575;35;2021-04-12;Ariel Tomaz;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanBrownAromatica2810-5bdf7039926726000427df2e-1603927744769
Apolo Club - British Brow Ale;13B - British Brown Ale (BJCP 2015);1.049;4.81;24.2;18.344368745589197;84;2018-04-12;Iván Barenboim;https://www.brew-o-matic.com.ar/#/recipe/clone/ApoloClubBritishBrowAle-59b014adc268771d0081c169-1523191251226
Apolo Club - British Brow Ale 64l;13B - British Brown Ale (BJCP 2015);1.047;4.62;23.1;17.577770781286812;64;2018-11-23;Iván Barenboim;https://www.brew-o-matic.com.ar/#/recipe/clone/ApoloClubBritishBrowAle64l-59b014adc268771d0081c169-1542992289928
BROWN CORREAS2;13B - British Brown Ale (BJCP 2015);1.053;5.21;21;19.656172705053162;25;2017-09-02;alexis kourtis;https://www.brew-o-matic.com.ar/#/recipe/clone/BROWN1-5948b7dba78bfd1d00404dc6-1500095012976
British Brown;13B - British Brown Ale (BJCP 2015);1.052;4.77;25;21.426360922166587;35;2017-05-16;Meer Cerveza Artesanal;https://www.brew-o-matic.com.ar/#/recipe/clone/BritishBrownAleFinal-58e5a3d9def0661d002b559b-1494901130280
British Brown Ale;13B - British Brown Ale (BJCP 2015);1.055;5.4;27.4;21.981400921717558;20;2021-03-25;Sebastian Nuñez Szymanski;https://www.brew-o-matic.com.ar/#/recipe/clone/BritishBrownAle-553e99647111039c4500006a-1582213094270
British Brown Ale Lot#20MAY2017;13B - British Brown Ale (BJCP 2015);1.051;5.01;21.4;18.079236769607682;91;2016-12-11;Cerveza Piave;https://www.brew-o-matic.com.ar/#/recipe/clone/BrownPorterAAIIbrown-57b1d4a58289261d00b7bf36-1481435516451
British Nut Brown Ale - V02;13B - British Brown Ale (BJCP 2015);1.048;4.72;23.9;20.80608857099614;38;2017-09-28;Diego Montoto;https://www.brew-o-matic.com.ar/#/recipe/clone/BritishNutBrownAleV02-599f2dc73f4b2f1d0049fd41-1506125084822
British01JJBatch28,25;13B - British Brown Ale (BJCP 2015);1.045;4.42;26.6;12.685094451265295;28;2017-06-15;Juanjo jose;https://www.brew-o-matic.com.ar/#/recipe/clone/British01JJBatch2825-58fba4e3facb6c1d00d8a676-1492907653068
Brow Ale Die Merz;13B - British Brown Ale (BJCP 2015);1.058;5.7;16.5;15.978018693696368;50;2017-10-15;Lucio Merz;https://www.brew-o-matic.com.ar/#/recipe/clone/BrowAle-554415a6c608a01b3b0041d0-1490368687343
Brown;13B - British Brown Ale (BJCP 2015);1.046;4.52;23.3;18.124603910635145;60;2021-05-26;Carlos Canon;https://www.brew-o-matic.com.ar/#/recipe/clone/Brown-55e5b2325a7dea4322000bc5-1622045141326
Brown Ale;13B - British Brown Ale (BJCP 2015);1.045;4.42;20.5;17.88796538538857;150;2018-07-16;Emiliano Martino;https://www.brew-o-matic.com.ar/#/recipe/clone/BrownAleWeyermann-5a43b4c3c4dd041d00fad0ee-1527689519182
Brown Ale;13B - British Brown Ale (BJCP 2015);1.047;4.62;25.2;18.328250745120325;24;2019-03-25;Nafer Bustamante;https://www.brew-o-matic.com.ar/#/recipe/clone/BrownAle-5b2ed60ecbcf490004af8363-1553549373693
Brown Ale;13B - British Brown Ale (BJCP 2015);1.055;5.4;13.6;24.852641540703775;24;2022-07-17;Ruben Dario Mensi;https://www.brew-o-matic.com.ar/#/recipe/clone/BrownAle-58405de857af8e1d0020942a-1658077645347
